,Type,Date,Value
115464,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:30:37,99.0
115465,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:30:42,99.0
115466,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:30:47,104.0
115467,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:30:52,118.0
115468,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:12,141.0
115469,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:17,141.0
115470,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:22,151.0
115471,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:27,150.0
115472,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:32,151.0
115473,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:37,151.0
115474,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:42,152.0
115475,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:47,155.0
115476,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:52,156.0
115477,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:31:57,157.0
115478,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:02,157.0
115479,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:07,162.0
115480,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:12,165.0
115481,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:17,166.0
115482,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:22,167.0
115483,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:27,167.0
115484,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:32,169.0
115486,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:37,170.0
115487,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:42,171.0
115488,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:47,172.0
115489,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:52,174.0
115490,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:32:57,174.0
115491,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:02,175.0
115492,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:07,175.0
115493,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:12,175.0
115494,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:17,176.0
115495,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:22,178.0
115496,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:27,178.0
115497,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:32,177.0
115498,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:37,179.0
115499,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:42,180.0
115500,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:47,181.0
115501,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:51,181.0
115502,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:33:57,182.0
115503,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:02,180.0
115504,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:07,181.0
115505,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:12,182.0
115506,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:17,183.0
115507,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:22,184.0
115508,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:27,183.0
115509,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:32,183.0
115510,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:37,184.0
115511,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:42,185.0
115512,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:47,184.0
115513,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:52,184.0
115514,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:34:57,184.0
115515,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:01,184.0
115516,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:07,183.0
115517,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:12,184.0
115518,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:17,185.0
115519,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:22,186.0
115520,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:27,186.0
115521,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:32,186.0
115522,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:37,186.0
115523,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:35:42,185.0
