,Type,Date,Value
115394,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:15:56,91.0
115395,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:01,87.0
115396,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:06,87.0
115397,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:11,98.0
115398,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:23,99.0
115399,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:28,99.0
115400,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:33,99.0
115401,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:38,98.0
115402,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:43,98.0
115403,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:48,109.0
115404,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:16:53,109.0
115405,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:01,104.0
115406,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:06,104.0
115407,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:11,104.0
115408,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:16,101.0
115409,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:21,102.0
115410,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:26,93.0
115411,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:31,91.0
115412,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:38,80.0
115413,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:43,97.0
115414,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:48,100.0
115415,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:53,97.0
115416,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:17:58,96.0
115417,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:03,95.0
115418,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:08,93.0
115419,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:13,93.0
115420,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:18,95.0
115421,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:42,95.0
115422,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:47,92.0
115423,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:52,98.0
115424,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:18:57,99.0
115425,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:02,100.0
115426,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:07,95.0
115427,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:12,93.0
115428,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:17,96.0
115429,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:22,90.0
115430,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:27,91.0
115431,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:32,91.0
115432,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:37,92.0
115433,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:19:55,99.0
115434,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:00,98.0
115435,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:05,98.0
115436,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:10,98.0
115437,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:15,102.0
115438,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:20,90.0
115439,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:25,89.0
115440,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:30,83.0
115441,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:47,96.0
115442,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:52,94.0
115443,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:20:57,93.0
115444,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:21:02,93.0
115445,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:21:07,93.0
115446,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:21:12,92.0
115447,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:21:17,92.0
